,Company_Name,Sector of Company,Rating,No_of_Ratings,Positives of Company,Negatives of Company,Locations of company
4006,Intelizign Lifecycle Services,IT Services & Consulting ,3.6,249,  ," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +5 other locations
4007,Sahajanand Medical Technologies,Medical Equipment ,3.7,227, Job Security  ," Promotions / Appraisal, Skill Development / Learning, Salary & Benefits", Surat +33 other locations
4008,Aarti Steels,Iron & Steel ,3.8,227,  ," Promotions / Appraisal, Salary & Benefits", Cuttack +12 other locations
4009,NOVO Medisciences,Pharma ,2.6,228,  ," Job Security, Company Culture, Work Satisfaction", Mumbai +31 other locations
4010,Tata Memorial Centre,Healthcare ,4.0,227, Skill Development / Learning  , Promotions / Appraisal, Mumbai +23 other locations
4011,Essar Power,Power ,4.1,227," Job Security, Work Life Balance, Work Satisfaction ",, Jamnagar +18 other locations
4012,Cargo Motors,Automobile ,3.8,227,  ," Promotions / Appraisal, Salary & Benefits", Ahmedabad +22 other locations
4013,Costa Cruise Lines,Travel & Tourism ,4.2,227," Work Satisfaction, Job Security, Skill Development / Learning ",, Mumbai +14 other locations
4014,Toshiba,Industrial Machinery ,4.0,226," Company Culture, Work Life Balance, Salary & Benefits  ", Promotions / Appraisal, Bangalore / Bengaluru +31 other locations
4015,Modern V.R. Security Force,Law Enforcement & Security ,4.0,248, Work Life Balance  , Promotions / Appraisal, Mumbai +60 other locations
4016,Red Health,Healthcare ,3.5,245,  ," Work Life Balance, Job Security, Promotions / Appraisal", Hyderabad / Secunderabad +23 other locations
4017,JSW Steel Coated Products,Mumbai +23 other locations,3.8,251, Job Security  ," Promotions / Appraisal, Salary & Benefits",
4018,ITC ABD,Guntur +57 other locations,3.8,227, Job Security  ," Promotions / Appraisal, Work Life Balance, Company Culture",
4019,Newgen Knowledge Works,Printing & Publishing ,3.3,226,  ," Promotions / Appraisal, Salary & Benefits, Skill Development / Learning", Chennai +10 other locations
4020,Century Enka,Fashion & Textile ,4.0,226," Job Security, Skill Development / Learning, Company Culture  ", Promotions / Appraisal, Pune +13 other locations
4021,Reliance Cement Company,Building Material ,4.3,226," Job Security, Company Culture, Work Life Balance ",, Maihar +29 other locations
4022,Befree Business Resourceing,Accounting & Auditing ,3.3,246,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +11 other locations
4023,Archirodon,Engineering & Construction ,3.9,226," Company Culture, Skill Development / Learning, Work Satisfaction  ", Promotions / Appraisal, Mumbai +21 other locations
4024,Meenakshi Polymers,Auto Components ,3.6,226,  ," Promotions / Appraisal, Company Culture, Job Security", Gurgaon / Gurugram +20 other locations
4025,Credera,IT Services & Consulting ,3.7,226, Work Life Balance  ," Promotions / Appraisal, Job Security", Hyderabad / Secunderabad +9 other locations
4026,Viva Composite Panel,Building Material ,4.4,226," Company Culture, Work Life Balance, Skill Development / Learning ",, Mumbai +43 other locations
4027,Kotak Mahindra General Insurance,Insurance ,3.8,226, Job Security  ," Promotions / Appraisal, Work Satisfaction", Mumbai +49 other locations
4028,Reliance Home Finance,NBFC ,4.5,226," Company Culture, Work Life Balance, Skill Development / Learning ",, Mumbai +44 other locations
4029,Barista Coffee Company,Beverage ,4.2,225," Work Life Balance, Company Culture, Work Satisfaction ",, New Delhi +30 other locations
4030,Fresenius Medical Care,Healthcare ,3.6,225,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Gurgaon / Gurugram +31 other locations
4031,Betsol,IT Services & Consulting ,3.6,225,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Bangalore / Bengaluru +3 other locations
4032,Sakata Inx,Chemicals ,4.1,241," Job Security, Work Life Balance, Work Satisfaction ",, Bhiwadi +16 other locations
4033,Gap,Retail ,3.7,225, Work Life Balance  ," Promotions / Appraisal, Job Security, Work Satisfaction", Hyderabad / Secunderabad +24 other locations
4034,J. C. Penney,Retail ,4.0,225," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +8 other locations
4035,Emerald Jewel Industry India,Jewellery ,3.7,225,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Coimbatore +11 other locations
4036,Belstar Investment and Finance,Investment Banking / Venture Capital / Private Equity ,4.1,234," Company Culture, Job Security, Work Life Balance ",, Chennai +96 other locations
4037,Corsearch,IT Services & Consulting ,4.1,238," Company Culture, Work Life Balance, Work Satisfaction  "," Promotions / Appraisal, Salary & Benefits", Mumbai +4 other locations
4038,EnFuse Solutions,IT Services & Consulting ,4.2,241," Skill Development / Learning, Company Culture, Work Life Balance ",, Mumbai +26 other locations
4039,JSW One Platforms,Building Material ,3.1,250,  ," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Mumbai +27 other locations
4040,Hitachi Vantara,IT Services & Consulting ,3.4,264, Work Life Balance  ," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Hyderabad / Secunderabad +9 other locations
4041,Control Print,Consumer Electronics & Appliances ,3.8,225, Job Security  , Promotions / Appraisal, Mumbai +32 other locations
4042,Tokai Rubber Auto Parts India,Industrial Machinery ,3.3,225,  ," Promotions / Appraisal, Work Satisfaction, Job Security", Neemrana +12 other locations
4043,IVTL Infoview Technologies,IT Services & Consulting ,3.6,225, Salary & Benefits  ," Job Security, Skill Development / Learning, Work Satisfaction", Chennai +3 other locations
4044,Sentiss Pharma,Healthcare ,3.9,225," Skill Development / Learning, Work Life Balance  ", Promotions / Appraisal, Gurgaon / Gurugram +21 other locations
4045,Gracure Pharmaceuticals,Pharma ,3.5,225,  ," Job Security, Company Culture, Work Life Balance", Bhiwadi +9 other locations
4046,VGN Projects Estates,Real Estate ,3.9,225," Salary & Benefits, Skill Development / Learning  ", Job Security, Chennai +8 other locations
4047,Listenlights,Electrical Equipment ,3.9,226," Company Culture, Skill Development / Learning, Salary & Benefits  ", Promotions / Appraisal, Mumbai +10 other locations
4048,American Tower Corporation,Telecom ,3.9,225," Work Life Balance, Company Culture, Salary & Benefits  ", Promotions / Appraisal, Gurgaon / Gurugram +42 other locations
4049,Olectra Greentech,Automobile ,3.3,244,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Hyderabad / Secunderabad +21 other locations
4050,Agriculture Department,Government ,4.4,231," Work Satisfaction, Skill Development / Learning, Company Culture ",, Bangalore / Bengaluru +107 other locations
4051,Mit World Peace University,Education & Training ,4.0,239," Work Life Balance, Job Security  ", Promotions / Appraisal, Pune +5 other locations
4052,TITAGARH WAGONS,Industrial Machinery ,2.9,224,  ," Company Culture, Work Life Balance, Promotions / Appraisal", Kolkata +15 other locations
4053,Klaus IT Solutions,IT Services & Consulting ,3.6,224,  ," Job Security, Promotions / Appraisal, Skill Development / Learning", Bangalore / Bengaluru +6 other locations
4054,Chain-Sys,IT Services & Consulting ,3.4,224,  ," Company Culture, Promotions / Appraisal, Work Life Balance", Chennai +9 other locations
4055,Shriram Properties,Real Estate ,4.0,224," Job Security, Company Culture, Work Life Balance ",, Bangalore / Bengaluru +10 other locations
4056,Evolve Technologies & Services,Recruitment ,3.9,224,  ," Job Security, Promotions / Appraisal", Pune +42 other locations
4057,MAN Truck & Bus,Automobile ,2.9,224,  ," Promotions / Appraisal, Skill Development / Learning, Work Satisfaction", Pune +18 other locations
4058,Intech Organics,Gurgaon / Gurugram +15 other locations,3.3,235,  ," Job Security, Promotions / Appraisal, Company Culture",
4059,Mahagun India,Real Estate ,3.2,236,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Noida +6 other locations
4060,Infoesearch Ites,Media & Entertainment ,3.3,224,  ," Promotions / Appraisal, Salary & Benefits, Job Security", Hyderabad / Secunderabad +12 other locations
4061,Hofincons Infotech & Industrial Services,Industrial Machinery ,3.9,224, Work Life Balance  , Promotions / Appraisal, Chennai +39 other locations
4062,Shriram Properties,Real Estate ,4.0,224," Job Security, Company Culture, Work Life Balance ",, Bangalore / Bengaluru +10 other locations
4063,TITAGARH WAGONS,Industrial Machinery ,2.9,224,  ," Company Culture, Work Life Balance, Promotions / Appraisal", Kolkata +15 other locations
4064,Chain-Sys,IT Services & Consulting ,3.4,224,  ," Company Culture, Promotions / Appraisal, Work Life Balance", Chennai +9 other locations
4065,MAN Truck & Bus,Automobile ,2.9,224,  ," Promotions / Appraisal, Skill Development / Learning, Work Satisfaction", Pune +18 other locations
4066,Rakon,Electronics Manufacturing ,3.6,224, Job Security  ," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +4 other locations
4067,Irclass Systems And Solutions,Ports & Shipping ,4.0,225," Company Culture, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Mumbai +28 other locations
4068,Iconic,Fashion & Textile ,3.4,224,  ," Job Security, Company Culture, Work Life Balance", New Delhi +26 other locations
4069,Venkateshwar Hospital,Healthcare ,3.6,224,  ," Company Culture, Promotions / Appraisal, Salary & Benefits", New Delhi +10 other locations
4070,Welspun Global Brands,Fashion & Textile ,3.8,224," Work Life Balance, Skill Development / Learning, Salary & Benefits  "," Promotions / Appraisal, Work Satisfaction", Mumbai +34 other locations
4071,Sraco,Engineering & Construction ,3.9,224," Work Life Balance, Job Security  ", Promotions / Appraisal, Dammam +23 other locations
4072,Dbs Mintek,Financial Services ,3.3,224,  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", Pune +18 other locations
4073,Verzeo,EdTech ,2.8,227,  ," Job Security, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +12 other locations
4074,Dorset Industries,Building Material ,4.0,255," Job Security, Company Culture, Work Life Balance ",, Gurgaon / Gurugram +39 other locations
4075,Zucol Group,IT Services & Consulting ,2.9,233,  ," Promotions / Appraisal, Salary & Benefits, Work Life Balance", Jaipur +9 other locations
4076,99acres,Internet ,3.8,223," Job Security, Work Life Balance  "," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Noida +26 other locations
4077,Bacardi,Beverage ,3.7,224, Salary & Benefits  ," Promotions / Appraisal, Work Satisfaction", Gurgaon / Gurugram +52 other locations
4078,Broker Network,Internet ,2.3,227,  ," Job Security, Promotions / Appraisal, Skill Development / Learning", Mumbai +16 other locations
4079,Metacube Software,IT Services & Consulting ,3.9,223," Job Security, Company Culture, Work Life Balance  "," Promotions / Appraisal, Salary & Benefits", Jaipur +5 other locations
4080,Cryoviva Biotech,Biotechnology ,3.3,223,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Gurgaon / Gurugram +45 other locations
4081,Billabong High International School,Education & Training ,3.7,224,  ," Promotions / Appraisal, Salary & Benefits", Mumbai +20 other locations
4082,Trimble,IT Services & Consulting ,4.1,223," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, Chennai +14 other locations
4083,Essel Group,Media & Entertainment ,4.1,223," Skill Development / Learning, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Mumbai +37 other locations
4084,Touchstone Educationals,Education & Training ,3.3,223,  ," Promotions / Appraisal, Job Security, Work Life Balance", Chandigarh +30 other locations
4085,ARCIS e Services,BPO ,3.7,223, Job Security  ," Promotions / Appraisal, Salary & Benefits", Gurgaon / Gurugram +10 other locations
4086,Netsmartz Infotech,IT Services & Consulting ,3.5,223,  ," Promotions / Appraisal, Job Security, Skill Development / Learning", Chandigarh +7 other locations
4087,I P Integrated Services,Telecom ,4.1,224," Work Life Balance, Company Culture, Job Security ",, Gurgaon / Gurugram +50 other locations
4088,Oriental Aromatics,Chemicals ,3.5,223,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Vadodara +11 other locations
4089,Organic India,FMCG ,4.2,223," Work Life Balance, Company Culture, Work Satisfaction ",, Lucknow +51 other locations
4090,Moolchand Medcity,Healthcare ,2.9,223,  ," Company Culture, Job Security, Work Satisfaction", New Delhi +9 other locations
4091,Wika Instruments India,Industrial Machinery ,4.0,224," Job Security, Company Culture, Work Life Balance ",, Pune +11 other locations
4092,CMA CGM Global Business Services,Logistics ,3.9,249," Job Security, Company Culture  ", Promotions / Appraisal, Chennai +7 other locations
4093,Jyothy Labs,Mumbai +88 other locations,4.1,262," Salary & Benefits, Company Culture, Job Security  ", Promotions / Appraisal,
4094,Total Environment Building Systems,Real Estate ,3.9,222," Work Life Balance, Job Security, Salary & Benefits  ", Work Satisfaction, Bangalore / Bengaluru +4 other locations
4095,Government of Andhra Pradesh,Government ,3.9,223, Job Security  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Hyderabad / Secunderabad +63 other locations
4096,Bravura Solutions,Software Product ,3.9,222," Work Life Balance, Company Culture  "," Skill Development / Learning, Promotions / Appraisal", Gurgaon / Gurugram +3 other locations
4097,Goldmedal Electricals,Electrical Equipment ,3.7,223,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Mumbai +57 other locations
4098,ITCONS e-Solutions,IT Services & Consulting ,3.4,223,  ," Promotions / Appraisal, Salary & Benefits, Job Security", Noida +66 other locations
4099,greytHR,Software Product ,4.0,222," Work Life Balance, Skill Development / Learning, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +15 other locations
4100,Jyothy Labs,Mumbai +88 other locations,4.1,262," Salary & Benefits, Company Culture, Job Security  ", Promotions / Appraisal,
4101,Roha Dyechem,Food Processing ,3.2,223,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Mumbai +10 other locations
4102,Goldmedal Electricals,Electrical Equipment ,3.7,223,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Mumbai +57 other locations
4103,ITCONS e-Solutions,IT Services & Consulting ,3.4,223,  ," Promotions / Appraisal, Salary & Benefits, Job Security", Noida +66 other locations
4104,Alivira Animal Health,Pharma ,3.9,222," Work Life Balance, Salary & Benefits  ", Promotions / Appraisal, Visakhapatnam +13 other locations
4105,greytHR,Software Product ,4.0,222," Work Life Balance, Skill Development / Learning, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +15 other locations
4106,Pps Motors,Automobile ,4.0,222," Work Life Balance, Job Security, Salary & Benefits  ", Promotions / Appraisal, Hyderabad / Secunderabad +45 other locations
4107,Dee Vee Projects,Engineering & Construction ,3.7,222,  ," Promotions / Appraisal, Job Security", Raipur +34 other locations
4108,TravelTriangle,Internet ,3.7,222, Work Life Balance  ," Promotions / Appraisal, Salary & Benefits, Skill Development / Learning", Gurgaon / Gurugram +7 other locations
4109,Jbm Auto Components,Auto Components ,4.0,223," Job Security, Skill Development / Learning  "," Promotions / Appraisal, Company Culture", Chennai +34 other locations
4110,Technique Control Facility Management,Facility Management Services ,3.8,222, Skill Development / Learning  , Promotions / Appraisal, Bangalore / Bengaluru +21 other locations
4111,Malabar Group Of Companies,Jewellery ,3.7,222,  ," Promotions / Appraisal, Work Satisfaction, Work Life Balance", Kozhikode +48 other locations
4112,Securens System,Law Enforcement & Security ,3.9,222, Work Life Balance  ," Promotions / Appraisal, Salary & Benefits, Job Security", Mumbai +36 other locations
4113,Gupshup,Software Product ,3.2,222,  ," Job Security, Promotions / Appraisal, Work Satisfaction", Mumbai +11 other locations
4114,MT Educare,EdTech ,3.2,221,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Mumbai +25 other locations
4115,Zee Learn,Education & Training ,3.8,221, Job Security  , Promotions / Appraisal, Mumbai +31 other locations
4116,Infineon Technologies,Semiconductors ,3.9,223, Work Life Balance  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", Bangalore / Bengaluru +6 other locations
4117,Gujarat State Fertilizers & Chemicals,Agro Chemicals ,4.4,221," Job Security, Work Life Balance, Company Culture ",, Vadodara +26 other locations
4118,Snowman Logistics,Logistics ,4.2,221," Job Security, Work Life Balance, Skill Development / Learning ",, Bangalore / Bengaluru +25 other locations
4119,Fingent,Software Product ,4.4,222," Job Security, Company Culture, Work Life Balance ",, Kochi +4 other locations
4120,OmniActive Health Technologies,Fitness & Wellness ,3.5,221,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Pune +13 other locations
4121,11:11 Systems,IT Services & Consulting ,3.8,221, Work Life Balance  ," Job Security, Promotions / Appraisal", Pune +3 other locations
4122,Jain University,Education & Training ,3.6,221,  ," Promotions / Appraisal, Work Satisfaction, Company Culture", Bangalore / Bengaluru +9 other locations
4123,Maharishi Vidya Mandir,Education & Training ,4.2,222," Work Life Balance, Company Culture, Work Satisfaction ",, Chennai +75 other locations
4124,Butterfly Gandhimathi Appliances,Consumer Electronics & Appliances ,4.1,221," Company Culture, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Chennai +32 other locations
4125,Aegon Life Insurance,Insurance ,3.8,221,  ," Promotions / Appraisal, Work Satisfaction, Job Security", Mumbai +34 other locations
4126,Envestnet Asset Management,Financial Services ,4.0,222," Work Life Balance, Job Security, Company Culture  "," Promotions / Appraisal, Skill Development / Learning, Salary & Benefits", Thiruvananthapuram +7 other locations
4127,Insecticides India,Agro Chemicals ,4.3,222," Job Security, Work Life Balance, Company Culture ",, Bharuch +39 other locations
4128,FOX Solutions,Industrial Machinery ,3.6,222, Job Security  ," Work Life Balance, Company Culture, Work Satisfaction", Nashik +17 other locations
4129,Plada Infotech Services,IT Services & Consulting ,3.5,221,  ," Promotions / Appraisal, Job Security, Company Culture", Mumbai +42 other locations
4130,Navneet Education,Printing & Publishing ,3.9,221," Job Security, Work Life Balance, Company Culture  ", Promotions / Appraisal, Mumbai +36 other locations
4131,Ichhapurti.com,Software Product ,2.3,221,  ," Job Security, Work Satisfaction, Company Culture", Gurgaon / Gurugram +26 other locations
4132,Globus Infocom,EdTech ,4.3,220," Salary & Benefits, Promotions / Appraisal, Company Culture ",, Noida +25 other locations
4133,Mahindra Susten,Engineering & Construction ,4.4,226," Company Culture, Work Life Balance, Job Security ",, Mumbai +26 other locations
4134,Teachmint,EdTech ,3.2,224,  ," Job Security, Promotions / Appraisal, Work Satisfaction", Bangalore / Bengaluru +23 other locations
4135,UNext,EdTech ,3.0,236,  ," Job Security, Work Satisfaction, Promotions / Appraisal", Bangalore / Bengaluru +11 other locations
4136,Faber India,Consumer Electronics & Appliances ,4.3,222," Company Culture, Work Life Balance, Job Security ",, Pune +48 other locations
4137,Interface Microsystems,Auto Components ,3.6,221,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Gurgaon / Gurugram +8 other locations
4138,Girmiti Software,IT Services & Consulting ,4.0,220," Skill Development / Learning, Job Security, Work Life Balance ",, Bangalore / Bengaluru +2 other locations
4139,Health & Glow,Beauty & Personal Care ,4.1,220," Job Security, Skill Development / Learning, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +14 other locations
4140,Health & Glow,Beauty & Personal Care ,4.1,220," Job Security, Skill Development / Learning, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +14 other locations
4141,Calpion Software Technologies,IT Services & Consulting ,3.3,222,  ," Company Culture, Promotions / Appraisal, Skill Development / Learning", Bangalore / Bengaluru +6 other locations
4142,Teamlease Digital,Recruitment ,3.5,247,  ," Promotions / Appraisal, Job Security, Skill Development / Learning", Bangalore / Bengaluru +26 other locations
4143,Media.net Software Services (India),Marketing & Advertising ,3.6,227, Work Life Balance  ," Promotions / Appraisal, Job Security, Skill Development / Learning", Mumbai +6 other locations
4144,Zyoin,Recruitment ,3.4,219,  ," Job Security, Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +6 other locations
4145,ICFAI Business School,Education & Training ,3.6,219,  ," Promotions / Appraisal, Skill Development / Learning, Company Culture", Hyderabad / Secunderabad +52 other locations
4146,Religare Finvest,Financial Services ,4.4,219," Work Life Balance, Company Culture, Work Satisfaction ",, New Delhi +34 other locations
4147,Binary Semantics,IT Services & Consulting ,3.7,219,  ," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Gurgaon / Gurugram +9 other locations
4148,Trivitron Healthcare,Medical Equipment ,3.4,219,  ," Job Security, Promotions / Appraisal, Company Culture", Chennai +17 other locations
4149,Arun Excello,Real Estate ,3.8,229,  ," Promotions / Appraisal, Work Life Balance, Job Security", Chennai +14 other locations
4150,FICO,Software Product ,4.0,219," Company Culture, Work Life Balance, Job Security ",, Bangalore / Bengaluru +5 other locations
4151,Income Tax Department India,Government ,4.4,219," Work Life Balance, Work Satisfaction, Company Culture  ", Promotions / Appraisal, New Delhi +79 other locations
4152,Sears Holdings,Retail ,2.9,219,  ," Job Security, Promotions / Appraisal, Company Culture", Pune +9 other locations
4153,SasMos HET Technologies,Electrical Equipment ,3.8,220," Skill Development / Learning, Work Life Balance, Work Satisfaction  "," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +6 other locations
4154,Stanley Lifestyles,Furniture & Furnishing ,4.4,219," Work Life Balance, Work Satisfaction, Job Security ",, Bangalore / Bengaluru +9 other locations
4155,RentoMojo,Internet ,3.9,219," Work Life Balance, Job Security, Skill Development / Learning ",, Bangalore / Bengaluru +15 other locations
4156,Real Time Data Services,IT Services & Consulting ,4.0,218," Job Security, Company Culture, Work Life Balance ",, Gurgaon / Gurugram +4 other locations
4157,Phoenix Contact,Electronics Manufacturing ,4.0,220," Work Life Balance, Job Security  ", Promotions / Appraisal, Faridabad +16 other locations
4158,Schneider Electric Infrastructure,Electrical Equipment ,4.2,220," Skill Development / Learning, Company Culture, Job Security  ", Promotions / Appraisal, Vadodara +23 other locations
4159,Expertise Contracting Company,Industrial Machinery ,3.5,219,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Al Jubail +12 other locations
4160,Poonawalla Housing Finance,Financial Services ,3.7,225,  ," Company Culture, Promotions / Appraisal, Work Life Balance", Pune +83 other locations
4161,Worldline Global Services,IT Services & Consulting ,3.8,242," Work Life Balance, Job Security  ", Promotions / Appraisal, Mumbai +15 other locations
4162,Worldline,FinTech ,3.8,238, Work Life Balance  , Promotions / Appraisal, Mumbai +15 other locations
4163,Fresher Than Fresh,Retail ,4.0,218," Company Culture, Work Life Balance, Work Satisfaction ",, Hyderabad / Secunderabad +42 other locations
4164,Save the Children,Non-Profit ,4.5,218," Company Culture, Work Life Balance, Work Satisfaction ",, Gurgaon / Gurugram +37 other locations
4165,Fujitec,Electronics Manufacturing ,3.8,218, Job Security  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Chennai +23 other locations
4166,Naandi Foundation,Non-Profit ,4.0,219," Work Satisfaction, Skill Development / Learning, Company Culture  "," Job Security, Promotions / Appraisal", Hyderabad / Secunderabad +48 other locations
4167,PhyCARE Solutions,Healthcare ,3.8,218," Job Security, Work Life Balance, Skill Development / Learning  "," Salary & Benefits, Promotions / Appraisal", Hyderabad / Secunderabad +6 other locations
4168,Lee Pharma,Hyderabad / Secunderabad +8 other locations,3.4,218,  ," Company Culture, Job Security, Work Life Balance",
4169,Navata Road Transport,Logistics ,3.6,218,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Vijayawada +31 other locations
4170,Grassroots BPO,BPO ,3.7,218,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Bangalore / Bengaluru +7 other locations
4171,Marathon Realty,Real Estate ,4.0,218," Company Culture, Job Security, Work Life Balance  ", Promotions / Appraisal, Mumbai +7 other locations
4172,MM Forgings,Iron & Steel ,3.7,220, Skill Development / Learning  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Chennai +20 other locations
4173,University of Petroleum & Energy Studies,Education & Training ,3.8,218, Work Life Balance  ," Promotions / Appraisal, Job Security", Dehradun +11 other locations
4174,Century Pulp & Paper,Pulp & Paper ,3.9,219, Job Security  , Promotions / Appraisal, Lalkuan +17 other locations
4175,Netenrich Technologies,Software Product ,3.6,218,  ," Promotions / Appraisal, Company Culture, Salary & Benefits", Hyderabad / Secunderabad +5 other locations
4176,Prabhat Dairy,FMCG ,3.8,218, Skill Development / Learning  ," Promotions / Appraisal, Job Security", Mumbai +22 other locations
4177,Vacmet India,Packaging ,4.2,219," Job Security, Work Life Balance, Company Culture ",, Indore +15 other locations
4178,Keller Ground Engineering,Engineering & Construction ,4.1,218," Company Culture, Salary & Benefits, Skill Development / Learning ",, Chennai +24 other locations
4179,Toshiba Software India,IT Services & Consulting ,3.7,218, Job Security  ," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Bangalore / Bengaluru +5 other locations
4180,Nippon Express,Logistics ,3.9,217," Job Security, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +31 other locations
4181,Integra Global Solutions,IT Services & Consulting ,3.5,217,  ," Company Culture, Promotions / Appraisal, Salary & Benefits", Coimbatore +3 other locations
4182,Terex,Industrial Machinery ,3.8,219,  ," Promotions / Appraisal, Work Satisfaction", Bangalore / Bengaluru +15 other locations
4183,Hidden Brains InfoTech,IT Services & Consulting ,3.8,218," Skill Development / Learning, Company Culture, Job Security ",, Ahmedabad +7 other locations
4184,Flyhomes,Internet ,4.3,217," Company Culture, Work Life Balance, Salary & Benefits ",, Noida +9 other locations
4185,Mouser Electronics,Semiconductors ,3.9,206,  ," Promotions / Appraisal, Skill Development / Learning, Work Satisfaction", Bangalore / Bengaluru +4 other locations
4186,Mogli labs,Internet ,3.5,217,  ," Job Security, Work Satisfaction, Promotions / Appraisal", Noida +24 other locations
4187,JP Infra,Real Estate ,3.8,217,  ," Promotions / Appraisal, Company Culture, Work Life Balance", Mumbai +8 other locations
4188,Shalina Healthcare,Pharma ,3.6,217,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Pune +10 other locations
4189,Kuwait Oil Company,Oil & Gas ,4.4,217," Company Culture, Salary & Benefits, Work Life Balance ",, Chennai +17 other locations
4190,Bajaj Healthcare,Pharma ,3.4,218,  ," Promotions / Appraisal, Company Culture, Salary & Benefits", Vadodara +12 other locations
4191,AAJ Supply Chain Management,Logistics ,3.9,217," Skill Development / Learning, Salary & Benefits ",, New Delhi +18 other locations
4192,The Institute Of Chartered Accountants,Education & Training ,3.7,217,  ," Promotions / Appraisal, Company Culture, Job Security", New Delhi +46 other locations
4193,Wilo Mather and Platt Pumps,Industrial Machinery ,4.0,217," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Pune +20 other locations
4194,Sophos Technologies,Software Product ,3.8,217," Work Life Balance, Company Culture  ", Promotions / Appraisal, Ahmedabad +8 other locations
4195,Trackon Courier,Logistics ,3.6,218,  ," Promotions / Appraisal, Work Satisfaction, Job Security", New Delhi +55 other locations
4196,Electropneumatics & Hydraulics (I),Industrial Machinery ,4.0,217," Job Security, Skill Development / Learning, Salary & Benefits ",, Pune +7 other locations
4197,LIXIL,Building Material ,4.0,217," Work Life Balance, Company Culture, Skill Development / Learning  ", Promotions / Appraisal, Gurgaon / Gurugram +38 other locations
4198,British Airways,Aviation ,3.1,216,  ," Company Culture, Work Satisfaction, Promotions / Appraisal", New Delhi +10 other locations
4199,Upwork,Internet ,4.4,216," Work Life Balance, Work Satisfaction, Skill Development / Learning ",, Bangalore / Bengaluru +31 other locations
4200,Strada,Hyderabad / Secunderabad +24 other locations,3.5,217,  ," Promotions / Appraisal, Salary & Benefits",
4201,British Airways,Aviation ,3.1,216,  ," Company Culture, Work Satisfaction, Promotions / Appraisal", New Delhi +10 other locations
4202,Sumadhura Infracon,Real Estate ,4.0,217," Job Security, Skill Development / Learning  ", Promotions / Appraisal, Bangalore / Bengaluru +7 other locations
4203,Crown Solutions,IT Services & Consulting ,3.6,217,  ," Job Security, Promotions / Appraisal, Skill Development / Learning", Chennai +10 other locations
4204,Smc Insurance Brokers,Insurance ,3.6,216,  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", New Delhi +33 other locations
4205,Upwork,Internet ,4.4,216," Work Life Balance, Work Satisfaction, Skill Development / Learning ",, Bangalore / Bengaluru +31 other locations
4206,Bombay Rayon Fashions,Fashion & Textile ,3.6,216,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Mumbai +18 other locations
