,Company_Name,Sector of Company,Rating,No_of_Ratings,Positives of Company,Negatives of Company,Locations of company
982,Visionet Systems,IT Services & Consulting ,3.3,881,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +16 other locations
983,Uber,Internet ,4.2,881," Work Life Balance, Company Culture, Work Satisfaction ",, Hyderabad / Secunderabad +48 other locations
984,Kohler,Building Material ,3.7,882,  ," Promotions / Appraisal, Job Security, Work Satisfaction", Pune +50 other locations
985,ValueMomentum,IT Services & Consulting ,3.2,881,  ," Promotions / Appraisal, Work Satisfaction, Company Culture", Hyderabad / Secunderabad +11 other locations
986,Nasser S. Al Hajri Corporation,Engineering & Construction ,3.5,880, Job Security  ," Company Culture, Promotions / Appraisal, Work Satisfaction", Chennai +52 other locations
987,MG Motor,Automobile ,3.9,879,  , Promotions / Appraisal, Vadodara +85 other locations
988,INDO-MIM ,Metals & Mining ,4.1,879," Job Security, Work Life Balance, Company Culture  ", Promotions / Appraisal, Bangalore / Bengaluru +27 other locations
989,Air India Sats Airport Services,Aviation ,3.7,879,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", New Delhi +39 other locations
990,Allianz Technology,IT Services & Consulting ,4.0,877," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, Pune +13 other locations
991,Aarvi Encon,Recruitment ,3.9,877,  ," Promotions / Appraisal, Job Security", Mumbai +114 other locations
992,Kendriya Vidyalaya Sangathan,Education & Training ,4.3,879," Skill Development / Learning, Work Life Balance, Company Culture  "," Job Security, Promotions / Appraisal", New Delhi +225 other locations
993,Aptiv,Auto Components ,3.5,929,  ," Promotions / Appraisal, Work Life Balance, Work Satisfaction", Bangalore / Bengaluru +22 other locations
994,AstraZeneca,Pharma ,4.1,875," Work Life Balance, Company Culture, Salary & Benefits  ", Promotions / Appraisal, Chennai +48 other locations
995,Secure Meters,Electronics Manufacturing ,4.1,875," Company Culture, Job Security, Work Life Balance ",, Udaipur +68 other locations
