iter	Passed	Remaining
549	31699	25935
550	31773	25892
551	31835	25837
552	31902	25787
553	32023	25780
554	32112	25747
555	32176	25694
556	32319	25704
557	32403	25667
558	32482	25625
559	32568	25589
560	32695	25585
561	32823	25581
562	32892	25531
563	32956	25477
564	33042	25439
565	33097	25378
566	33203	25356
567	33283	25314
568	33433	25325
569	33497	25270
570	33587	25234
571	33631	25164
572	33724	25131
573	33807	25090
574	33867	25032
575	33924	24972
576	34055	24966
577	34183	24957
578	34273	24920
579	34338	24866
580	34411	24816
581	34521	24793
582	34618	24761
583	34740	24746
584	34830	24708
585	34890	24649
586	34936	24580
587	35054	24561
588	35104	24495
589	35149	24425
590	35191	24354
591	35281	24315
592	35333	24251
593	35473	24245
594	35556	24202
595	35652	24167
596	35701	24100
597	35809	24072
598	35930	24053
599	36062	24041
600	36145	23996
601	36279	23985
602	36380	23952
603	36483	23919
604	36662	23936
605	36735	23883
606	36831	23846
607	36939	23815
608	37125	23835
609	37200	23783
610	37280	23734
611	37424	23726
612	37480	23662
613	37592	23632
614	37645	23566
615	37697	23499
616	37739	23426
617	37867	23406
618	37956	23362
619	38086	23343
620	38186	23305
621	38261	23252
622	38371	23220
623	38446	23166
624	38566	23139
625	38659	23096
626	38764	23061
627	38830	23001
628	38934	22964
629	39053	22936
630	39203	22925
631	39293	22879
632	39417	22853
633	39720	22930
634	39853	22907
635	39986	22885
636	40108	22856
637	40184	22800
638	40297	22765
639	40427	22740
640	40581	22728
641	40699	22695
642	40921	22720
643	41033	22682
644	41118	22631
645	41247	22603
646	41306	22536
647	41377	22476
648	41473	22429
649	41596	22398
650	41675	22342
651	41790	22305
652	41863	22246
653	41953	22195
654	42084	22166
655	42209	22134
656	42312	22090
657	42424	22050
658	42566	22026
659	42646	21969
660	42793	21947
661	42901	21904
662	43007	21860
663	43131	21825
664	43232	21778
665	43371	21750
666	43488	21711
667	43606	21672
668	43717	21629
669	43857	21601
670	44024	21585
671	44193	21570
672	44369	21558
673	44537	21541
674	44648	21497
675	44769	21457
676	44854	21400
677	44968	21356
678	45069	21306
679	45181	21261
680	45296	21218
681	45411	21174
682	45516	21125
683	45623	21077
684	45734	21031
685	45837	20980
686	45923	20922
687	46049	20882
688	46167	20838
689	46270	20788
690	46383	20741
691	46482	20688
692	46612	20649
693	46763	20618
694	46900	20582
695	47026	20540
696	47139	20492
697	47261	20448
698	47352	20390
699	47424	20324
700	47537	20276
701	47643	20224
702	47755	20175
703	47980	20173
704	48091	20123
705	48193	20069
706	48287	20011
707	48407	19964
708	48504	19908
709	48608	19854
710	48722	19804
711	48814	19745
712	48925	19693
713	49047	19646
714	49163	19596
715	49285	19548
716	49415	19504
717	49553	19462
718	49671	19412
719	49771	19355
720	49861	19294
721	50004	19253
722	50124	19204
723	50291	19171
724	50416	19123
725	50501	19059
726	50610	19005
727	50713	18947
728	50841	18899
729	50940	18840
730	51033	18779
731	51120	18716
732	51226	18659
733	51332	18602
734	51424	18540
735	51512	18477
736	51653	18432
737	51760	18375
738	51871	18319
739	51931	18246
740	52014	18180
741	52123	18123
742	52257	18075
743	52383	18024
744	52493	17967
745	52648	17925
746	52752	17866
747	52904	17823
748	53044	17776
749	53126	17708
750	53231	17649
751	53313	17582
752	53432	17526
753	53514	17459
754	53593	17391
755	53682	17326
756	53775	17262
757	53855	17193
758	53957	17132
759	54063	17072
760	54152	17007
761	54224	16936
762	54376	16890
763	54521	16841
764	54700	16803
765	54822	16747
766	54958	16695
767	55022	16621
768	55106	16553
769	55203	16489
770	55353	16440
771	55512	16394
772	55643	16340
773	55767	16283
774	55931	16238
775	56063	16183
776	56151	16115
777	56257	16052
778	56370	15992
779	56456	15923
780	56538	15853
781	56595	15777
782	56701	15714
783	56810	15651
784	56934	15593
785	57006	15520
786	57112	15457
787	57245	15401
788	57401	15350
789	57608	15313
790	57836	15281
791	58051	15245
792	58230	15200
793	58370	15143
794	58509	15087
795	58644	15029
796	58798	14976
797	58927	14916
798	58999	14842
799	59114	14778
800	59197	14707
801	59279	14635
802	59405	14573
803	59479	14499
804	59593	14435
805	59661	14360
806	59787	14298
807	59866	14225
808	59974	14159
809	60120	14102
810	60214	14032
811	60342	13971
812	60462	13907
813	60548	13835
814	60623	13761
815	60717	13691
816	60818	13622
817	60938	13558
818	61040	13489
819	61119	13416
820	61232	13350
821	61379	13291
822	61487	13224
823	61603	13158
824	61722	13092
825	61800	13018
826	61928	12954
827	62021	12883
828	62115	12812
829	62257	12751
830	62384	12687
831	62516	12623
832	62659	12561
833	62736	12487
834	62854	12420
835	62971	12353
836	63081	12284
837	63199	12217
838	63308	12148
839	63421	12080
840	63492	12004
841	63617	11937
842	63695	11862
843	63816	11795
844	63926	11726
845	63999	11650
846	64126	11583
847	64211	11509
848	64319	11439
849	64391	11363
850	64523	11297
851	64671	11233
852	64783	11164
853	64853	11087
854	64954	11015
855	65064	10945
856	65191	10877
857	65276	10803
858	65394	10734
859	65506	10663
860	65600	10590
861	65685	10515
862	65839	10451
863	65983	10386
864	66097	10315
865	66230	10248
866	66347	10177
867	66554	10121
868	66886	10082
869	67108	10027
870	67228	9956
871	67336	9884
872	67463	9814
873	67595	9744
874	67693	9670
875	67803	9597
876	67892	9521
877	68000	9448
878	68099	9374
879	68208	9301
880	68322	9228
881	68434	9155
882	68547	9082
883	68666	9010
884	68770	8936
885	68868	8861
886	68950	8784
887	69103	8715
888	69245	8645
889	69360	8572
890	69466	8498
891	69585	8425
892	69691	8350
893	69800	8276
894	69921	8203
895	70031	8128
896	70087	8047
897	70201	7973
898	70311	7899
899	70412	7823
900	70534	7750
901	70648	7675
902	70761	7601
903	70886	7527
904	70959	7448
905	71060	7372
906	71208	7301
907	71365	7230
908	71541	7161
