,Company_Name,Sector of Company,Locations of company,Rating,No_of_Ratings,Positives of Company,Negatives of Company
78,KPMG India, Bangalore / Bengaluru +103 other locations,Management Consulting ,3.5,6k,  ," Rated For Promotions / Appraisal, Work Life Balance, Work Satisfaction"
79,Ekart Logistics,,Bangalore / Bengaluru +693 other locations,3.9,5.9k, Highly Rated For Skill Development / Learning  , Rated For Promotions / Appraisal
80,Axis Max Life Insurance, New Delhi +455 other locations,Insurance ,4.1,5.8k," Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance ",
81,Ujjivan Small Finance Bank, Bangalore / Bengaluru +497 other locations,Banking ,4.1,5.8k," Highly Rated For Company Culture, Work Life Balance, Job Security ",
82,FIS, Pune +57 other locations,FinTech ,3.9,5.8k," Highly Rated For Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
83,HCL Group, Chennai +92 other locations,IT Services & Consulting ,3.6,5.7k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
84,Megha Engineering & Infrastructures, Hyderabad / Secunderabad +363 other locations,Engineering & Construction ,3.9,5.6k, Highly Rated For Job Security  , Rated For Promotions / Appraisal
85,Indian Army, New Delhi +345 other locations,Defence & Aerospace ,4.7,5.5k," Highly Rated For Job Security, Company Culture, Work Satisfaction ",
86,Oracle, Bangalore / Bengaluru +53 other locations,Software Product ,3.7,5.5k," Highly Rated For Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
87,IIFL Finance, Mumbai +749 other locations,NBFC ,4.0,5.5k," Highly Rated For Work Life Balance, Company Culture, Job Security ",
88,Tata Projects, Mumbai +257 other locations,Engineering & Construction ,4.2,5.6k," Highly Rated For Job Security, Salary & Benefits, Company Culture ",
89,eClerx, Pune +28 other locations,IT Services & Consulting ,3.3,5.3k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
90,Virtusa Consulting Services, Hyderabad / Secunderabad +50 other locations,IT Services & Consulting ,3.7,5.3k,  ," Rated For Promotions / Appraisal, Job Security, Salary & Benefits"
91,Omega Healthcare, Chennai +63 other locations,BPO ,3.7,5.3k,  ," Rated For Promotions / Appraisal, Salary & Benefits"
92,HSBC Group, Bangalore / Bengaluru +59 other locations,Financial Services ,3.9,5.2k," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
93,Udaan, Bangalore / Bengaluru +349 other locations,Internet ,4.0,5.2k," Highly Rated For Salary & Benefits, Work Life Balance, Skill Development / Learning  "," Rated For Job Security, Promotions / Appraisal"
94,Indiamart Intermesh, Noida +163 other locations,Internet ,3.6,5.1k,  ," Rated For Promotions / Appraisal, Work Satisfaction, Company Culture"
95,Muthoot Finance, Bangalore / Bengaluru +703 other locations,NBFC ,3.6,5.3k,  ," Rated For Promotions / Appraisal, Work Satisfaction, Company Culture"
96,Aurobindo Pharma, Hyderabad / Secunderabad +101 other locations,Pharma ,4.0,5.1k," Highly Rated For Job Security, Work Life Balance, Salary & Benefits ",
97,Siemens, Bangalore / Bengaluru +146 other locations,Industrial Automation ,4.0,5k," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
98,Shapoorji Pallonji Group, Mumbai +184 other locations,Engineering & Construction ,4.1,5k," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
99,Bajaj Allianz Life Insurance, Pune +547 other locations,Insurance ,3.9,5.3k," Highly Rated For Work Life Balance, Salary & Benefits ",
100,JLL, Gurgaon / Gurugram +72 other locations,Real Estate ,4.1,5.3k," Highly Rated For Company Culture, Work Life Balance, Job Security ",
