,Company_Name,Sector of Company,Locations of company,Rating,No_of_Ratings,Positives of Company,Negatives of Company
4010,Tata Memorial Centre, Mumbai +23 other locations,Healthcare ,4.0,227, Highly Rated For Skill Development / Learning  , Rated For Promotions / Appraisal
4011,Essar Power, Jamnagar +18 other locations,Power ,4.1,227," Highly Rated For Job Security, Work Life Balance, Work Satisfaction ",
4012,Cargo Motors, Ahmedabad +22 other locations,Automobile ,3.8,227,  ," Rated For Promotions / Appraisal, Salary & Benefits"
4013,Costa Cruise Lines, Mumbai +14 other locations,Travel & Tourism ,4.2,227," Highly Rated For Work Satisfaction, Job Security, Skill Development / Learning ",
4014,Toshiba, Bangalore / Bengaluru +31 other locations,Industrial Machinery ,4.0,226," Highly Rated For Company Culture, Work Life Balance, Salary & Benefits  ", Rated For Promotions / Appraisal
4015,Modern V.R. Security Force, Mumbai +60 other locations,Law Enforcement & Security ,4.0,248, Highly Rated For Work Life Balance  , Rated For Promotions / Appraisal
4016,Red Health, Hyderabad / Secunderabad +23 other locations,Healthcare ,3.5,245,  ," Rated For Work Life Balance, Job Security, Promotions / Appraisal"
4017,JSW Steel Coated Products,,Mumbai +23 other locations,3.8,251, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits"
4018,ITC ABD,,Guntur +57 other locations,3.8,227, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Work Life Balance, Company Culture"
4019,Newgen Knowledge Works, Chennai +10 other locations,Printing & Publishing ,3.3,226,  ," Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
4020,Viva Composite Panel, Mumbai +43 other locations,Building Material ,4.4,226," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning ",
4021,Credera, Hyderabad / Secunderabad +9 other locations,IT Services & Consulting ,3.7,226, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Job Security"
4022,Meenakshi Polymers, Gurgaon / Gurugram +20 other locations,Auto Components ,3.6,226,  ," Rated For Promotions / Appraisal, Company Culture, Job Security"
4023,Reliance Cement Company, Maihar +29 other locations,Building Material ,4.3,226," Highly Rated For Job Security, Company Culture, Work Life Balance ",
4024,ITC ABD,,Guntur +57 other locations,3.8,227, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Work Life Balance, Company Culture"
4025,Century Enka, Pune +13 other locations,Fashion & Textile ,4.0,226," Highly Rated For Job Security, Skill Development / Learning, Company Culture  ", Rated For Promotions / Appraisal
4026,Costa Cruise Lines, Mumbai +14 other locations,Travel & Tourism ,4.2,227," Highly Rated For Work Satisfaction, Job Security, Skill Development / Learning ",
4027,Reliance Home Finance, Mumbai +44 other locations,NBFC ,4.5,226," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning ",
4028,Kotak Mahindra General Insurance, Mumbai +49 other locations,Insurance ,3.8,226, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Work Satisfaction"
4029,Belstar Investment and Finance, Chennai +96 other locations,Investment Banking / Venture Capital / Private Equity ,4.1,234," Highly Rated For Company Culture, Job Security, Work Life Balance ",
4030,JSW One Platforms, Mumbai +27 other locations,Building Material ,3.1,250,  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
4031,Sakata Inx, Bhiwadi +16 other locations,Chemicals ,4.1,241," Highly Rated For Job Security, Work Life Balance, Work Satisfaction ",
4032,Hitachi Vantara, Hyderabad / Secunderabad +9 other locations,IT Services & Consulting ,3.4,264, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
4033,Betsol, Bangalore / Bengaluru +3 other locations,IT Services & Consulting ,3.6,225,  ," Rated For Promotions / Appraisal, Job Security, Salary & Benefits"
4034,Gap, Hyderabad / Secunderabad +24 other locations,Retail ,3.7,225, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
4035,Corsearch, Mumbai +4 other locations,IT Services & Consulting ,4.1,238," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  "," Rated For Promotions / Appraisal, Salary & Benefits"
4036,EnFuse Solutions, Mumbai +26 other locations,IT Services & Consulting ,4.2,241," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance ",
4037,Control Print, Mumbai +32 other locations,Consumer Electronics & Appliances ,3.8,225, Highly Rated For Job Security  , Rated For Promotions / Appraisal
4038,Tokai Rubber Auto Parts India, Neemrana +12 other locations,Industrial Machinery ,3.3,225,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
4039,IVTL Infoview Technologies, Chennai +3 other locations,IT Services & Consulting ,3.6,225, Highly Rated For Salary & Benefits  ," Rated For Job Security, Skill Development / Learning, Work Satisfaction"
4040,Barista Coffee Company, New Delhi +30 other locations,Beverage ,4.2,225," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction ",
4041,Emerald Jewel Industry India, Coimbatore +11 other locations,Jewellery ,3.7,225,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4042,J. C. Penney, Bangalore / Bengaluru +8 other locations,Retail ,4.0,225," Highly Rated For Work Life Balance, Company Culture, Job Security  ", Rated For Promotions / Appraisal
4043,Fresenius Medical Care, Gurgaon / Gurugram +31 other locations,Healthcare ,3.6,225,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4044,VGN Projects Estates, Chennai +8 other locations,Real Estate ,3.9,225," Highly Rated For Salary & Benefits, Skill Development / Learning  ", Rated For Job Security
4045,Gracure Pharmaceuticals, Bhiwadi +9 other locations,Pharma ,3.5,225,  ," Rated For Job Security, Company Culture, Work Life Balance"
4046,American Tower Corporation, Gurgaon / Gurugram +42 other locations,Telecom ,3.9,225," Highly Rated For Work Life Balance, Company Culture, Salary & Benefits  ", Rated For Promotions / Appraisal
4047,Sentiss Pharma, Gurgaon / Gurugram +21 other locations,Healthcare ,3.9,225," Highly Rated For Skill Development / Learning, Work Life Balance  ", Rated For Promotions / Appraisal
4048,Listenlights, Mumbai +10 other locations,Electrical Equipment ,3.9,226," Highly Rated For Company Culture, Skill Development / Learning, Salary & Benefits  ", Rated For Promotions / Appraisal
4049,Mahagun India, Noida +6 other locations,Real Estate ,3.2,236,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4050,Intech Organics,,Gurgaon / Gurugram +15 other locations,3.3,235,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
4051,Expertrons, Mumbai +7 other locations,Education & Training ,3.5,226,  ," Rated For Job Security, Work Life Balance, Work Satisfaction"
4052,Agriculture Department, Bangalore / Bengaluru +107 other locations,Government ,4.4,231," Highly Rated For Work Satisfaction, Skill Development / Learning, Company Culture ",
4053,Olectra Greentech, Hyderabad / Secunderabad +21 other locations,Automobile ,3.3,244,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
4054,Mit World Peace University, Pune +5 other locations,Education & Training ,4.0,239," Highly Rated For Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
4055,Captain Fresh, Bangalore / Bengaluru +23 other locations,Food Processing ,3.8,232, Highly Rated For Salary & Benefits  ," Rated For Job Security, Promotions / Appraisal, Skill Development / Learning"
4056,Niine , Gorakhpur +58 other locations,Beauty & Personal Care ,3.8,234, Highly Rated For Salary & Benefits  ," Rated For Job Security, Promotions / Appraisal"
4057,Choice Consultancy Services , Mumbai +54 other locations,Management Consulting ,4.0,256," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  "," Rated For Promotions / Appraisal, Job Security"
4058,Evolve Technologies & Services, Pune +42 other locations,Recruitment ,3.9,224,  ," Rated For Job Security, Promotions / Appraisal"
4059,Klaus IT Solutions, Bangalore / Bengaluru +6 other locations,IT Services & Consulting ,3.6,224,  ," Rated For Job Security, Promotions / Appraisal, Skill Development / Learning"
4060,Expertrons, Mumbai +7 other locations,Education & Training ,3.5,226,  ," Rated For Job Security, Work Life Balance, Work Satisfaction"
4061,Niine , Gorakhpur +58 other locations,Beauty & Personal Care ,3.8,234, Highly Rated For Salary & Benefits  ," Rated For Job Security, Promotions / Appraisal"
4062,Choice Consultancy Services , Mumbai +54 other locations,Management Consulting ,4.0,256," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  "," Rated For Promotions / Appraisal, Job Security"
4063,Captain Fresh, Bangalore / Bengaluru +23 other locations,Food Processing ,3.8,232, Highly Rated For Salary & Benefits  ," Rated For Job Security, Promotions / Appraisal, Skill Development / Learning"
4064,Hofincons Infotech & Industrial Services, Chennai +39 other locations,Industrial Machinery ,3.9,224, Highly Rated For Work Life Balance  , Rated For Promotions / Appraisal
4065,Infoesearch Ites, Hyderabad / Secunderabad +12 other locations,Media & Entertainment ,3.3,224,  ," Rated For Promotions / Appraisal, Salary & Benefits, Job Security"
4066,Dbs Mintek, Pune +18 other locations,Financial Services ,3.3,224,  ," Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
4067,Irclass Systems And Solutions, Mumbai +28 other locations,Ports & Shipping ,4.0,225," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  ", Rated For Promotions / Appraisal
4068,Sraco, Dammam +23 other locations,Engineering & Construction ,3.9,224," Highly Rated For Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
4069,Rakon, Bangalore / Bengaluru +4 other locations,Electronics Manufacturing ,3.6,224, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits"
4070,Welspun Global Brands, Mumbai +34 other locations,Fashion & Textile ,3.8,224," Highly Rated For Work Life Balance, Skill Development / Learning, Salary & Benefits  "," Rated For Promotions / Appraisal, Work Satisfaction"
4071,Iconic, New Delhi +26 other locations,Fashion & Textile ,3.4,224,  ," Rated For Job Security, Company Culture, Work Life Balance"
4072,Venkateshwar Hospital, New Delhi +10 other locations,Healthcare ,3.6,224,  ," Rated For Company Culture, Promotions / Appraisal, Salary & Benefits"
4073,ARCIS e Services, Gurgaon / Gurugram +10 other locations,BPO ,3.7,223, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits"
4074,Bacardi, Gurgaon / Gurugram +52 other locations,Beverage ,3.7,224, Highly Rated For Salary & Benefits  ," Rated For Promotions / Appraisal, Work Satisfaction"
4075,99acres, Noida +26 other locations,Internet ,3.8,223," Highly Rated For Job Security, Work Life Balance  "," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
4076,Verzeo, Bangalore / Bengaluru +12 other locations,EdTech ,2.8,227,  ," Rated For Job Security, Salary & Benefits, Work Satisfaction"
4077,Dorset Industries, Gurgaon / Gurugram +39 other locations,Building Material ,4.0,255," Highly Rated For Job Security, Company Culture, Work Life Balance ",
4078,Zucol Group, Jaipur +9 other locations,IT Services & Consulting ,2.9,233,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Life Balance"
4079,Broker Network, Mumbai +16 other locations,Internet ,2.3,227,  ," Rated For Job Security, Promotions / Appraisal, Skill Development / Learning"
4080,Cryoviva Biotech, Gurgaon / Gurugram +45 other locations,Biotechnology ,3.3,223,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
4081,Billabong High International School, Mumbai +20 other locations,Education & Training ,3.7,224,  ," Rated For Promotions / Appraisal, Salary & Benefits"
4082,Trimble, Chennai +14 other locations,IT Services & Consulting ,4.1,223," Highly Rated For Work Life Balance, Company Culture, Job Security  ", Rated For Promotions / Appraisal
4083,Essel Group, Mumbai +37 other locations,Media & Entertainment ,4.1,223," Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction  ", Rated For Promotions / Appraisal
4084,Touchstone Educationals, Chandigarh +30 other locations,Education & Training ,3.3,223,  ," Rated For Promotions / Appraisal, Job Security, Work Life Balance"
4085,ARCIS e Services, Gurgaon / Gurugram +10 other locations,BPO ,3.7,223, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits"
4086,Netsmartz Infotech, Chandigarh +7 other locations,IT Services & Consulting ,3.5,223,  ," Rated For Promotions / Appraisal, Job Security, Skill Development / Learning"
4087,I P Integrated Services, Gurgaon / Gurugram +50 other locations,Telecom ,4.1,224," Highly Rated For Work Life Balance, Company Culture, Job Security ",
4088,Oriental Aromatics, Vadodara +11 other locations,Chemicals ,3.5,223,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
4089,Organic India, Lucknow +51 other locations,FMCG ,4.2,223," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction ",
4090,Moolchand Medcity, New Delhi +9 other locations,Healthcare ,2.9,223,  ," Rated For Company Culture, Job Security, Work Satisfaction"
4091,Wika Instruments India, Pune +11 other locations,Industrial Machinery ,4.0,224," Highly Rated For Job Security, Company Culture, Work Life Balance ",
4092,CMA CGM Global Business Services, Chennai +7 other locations,Logistics ,3.9,249," Highly Rated For Job Security, Company Culture  ", Rated For Promotions / Appraisal
4093,Jyothy Labs,,Mumbai +88 other locations,4.1,262," Highly Rated For Salary & Benefits, Company Culture, Job Security  ", Rated For Promotions / Appraisal
4094,Total Environment Building Systems, Bangalore / Bengaluru +4 other locations,Real Estate ,3.9,222," Highly Rated For Work Life Balance, Job Security, Salary & Benefits  ", Rated For Work Satisfaction
4095,Government of Andhra Pradesh, Hyderabad / Secunderabad +63 other locations,Government ,3.9,223, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4096,Bravura Solutions, Gurgaon / Gurugram +3 other locations,Software Product ,3.9,222," Highly Rated For Work Life Balance, Company Culture  "," Rated For Skill Development / Learning, Promotions / Appraisal"
4097,Goldmedal Electricals, Mumbai +57 other locations,Electrical Equipment ,3.7,223,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
4098,ITCONS e-Solutions, Noida +66 other locations,IT Services & Consulting ,3.4,223,  ," Rated For Promotions / Appraisal, Salary & Benefits, Job Security"
4099,greytHR, Bangalore / Bengaluru +15 other locations,Software Product ,4.0,222," Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture  ", Rated For Promotions / Appraisal
4100,Jyothy Labs,,Mumbai +88 other locations,4.1,262," Highly Rated For Salary & Benefits, Company Culture, Job Security  ", Rated For Promotions / Appraisal
4101,Roha Dyechem, Mumbai +10 other locations,Food Processing ,3.2,223,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
4102,Goldmedal Electricals, Mumbai +57 other locations,Electrical Equipment ,3.7,223,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
4103,ITCONS e-Solutions, Noida +66 other locations,IT Services & Consulting ,3.4,223,  ," Rated For Promotions / Appraisal, Salary & Benefits, Job Security"
4104,Alivira Animal Health, Visakhapatnam +13 other locations,Pharma ,3.9,222," Highly Rated For Work Life Balance, Salary & Benefits  ", Rated For Promotions / Appraisal
4105,greytHR, Bangalore / Bengaluru +15 other locations,Software Product ,4.0,222," Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture  ", Rated For Promotions / Appraisal
4106,Pps Motors, Hyderabad / Secunderabad +45 other locations,Automobile ,4.0,222," Highly Rated For Work Life Balance, Job Security, Salary & Benefits  ", Rated For Promotions / Appraisal
4107,Dee Vee Projects, Raipur +34 other locations,Engineering & Construction ,3.7,222,  ," Rated For Promotions / Appraisal, Job Security"
4108,TravelTriangle, Gurgaon / Gurugram +7 other locations,Internet ,3.7,222, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
4109,Jbm Auto Components, Chennai +34 other locations,Auto Components ,4.0,223," Highly Rated For Job Security, Skill Development / Learning  "," Rated For Promotions / Appraisal, Company Culture"
4110,Technique Control Facility Management, Bangalore / Bengaluru +21 other locations,Facility Management Services ,3.8,222, Highly Rated For Skill Development / Learning  , Rated For Promotions / Appraisal
4111,Malabar Group Of Companies, Kozhikode +48 other locations,Jewellery ,3.7,222,  ," Rated For Promotions / Appraisal, Work Satisfaction, Work Life Balance"
4112,Securens System, Mumbai +36 other locations,Law Enforcement & Security ,3.9,222, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Salary & Benefits, Job Security"
4113,Gupshup, Mumbai +11 other locations,Software Product ,3.2,222,  ," Rated For Job Security, Promotions / Appraisal, Work Satisfaction"
4114,MT Educare, Mumbai +25 other locations,EdTech ,3.2,221,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4115,Zee Learn, Mumbai +31 other locations,Education & Training ,3.8,221, Highly Rated For Job Security  , Rated For Promotions / Appraisal
4116,Infineon Technologies, Bangalore / Bengaluru +6 other locations,Semiconductors ,3.9,223, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
4117,Gujarat State Fertilizers & Chemicals, Vadodara +26 other locations,Agro Chemicals ,4.4,221," Highly Rated For Job Security, Work Life Balance, Company Culture ",
4118,Snowman Logistics, Bangalore / Bengaluru +25 other locations,Logistics ,4.2,221," Highly Rated For Job Security, Work Life Balance, Skill Development / Learning ",
4119,Fingent, Kochi +4 other locations,Software Product ,4.4,222," Highly Rated For Job Security, Company Culture, Work Life Balance ",
4120,OmniActive Health Technologies, Pune +13 other locations,Fitness & Wellness ,3.5,221,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
4121,11:11 Systems, Pune +3 other locations,IT Services & Consulting ,3.8,221, Highly Rated For Work Life Balance  ," Rated For Job Security, Promotions / Appraisal"
4122,Jain University, Bangalore / Bengaluru +9 other locations,Education & Training ,3.6,221,  ," Rated For Promotions / Appraisal, Work Satisfaction, Company Culture"
4123,Maharishi Vidya Mandir, Chennai +75 other locations,Education & Training ,4.2,222," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction ",
4124,Butterfly Gandhimathi Appliances, Chennai +32 other locations,Consumer Electronics & Appliances ,4.1,221," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  ", Rated For Promotions / Appraisal
4125,Aegon Life Insurance, Mumbai +34 other locations,Insurance ,3.8,221,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
4126,Envestnet Asset Management, Thiruvananthapuram +7 other locations,Financial Services ,4.0,222," Highly Rated For Work Life Balance, Job Security, Company Culture  "," Rated For Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
4127,Insecticides India, Bharuch +39 other locations,Agro Chemicals ,4.3,222," Highly Rated For Job Security, Work Life Balance, Company Culture ",
4128,FOX Solutions, Nashik +17 other locations,Industrial Machinery ,3.6,222, Highly Rated For Job Security  ," Rated For Work Life Balance, Company Culture, Work Satisfaction"
4129,Plada Infotech Services, Mumbai +42 other locations,IT Services & Consulting ,3.5,221,  ," Rated For Promotions / Appraisal, Job Security, Company Culture"
4130,Navneet Education, Mumbai +36 other locations,Printing & Publishing ,3.9,221," Highly Rated For Job Security, Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
4131,Ichhapurti.com, Gurgaon / Gurugram +26 other locations,Software Product ,2.3,221,  ," Rated For Job Security, Work Satisfaction, Company Culture"
4132,Globus Infocom, Noida +25 other locations,EdTech ,4.3,220," Highly Rated For Salary & Benefits, Promotions / Appraisal, Company Culture ",
4133,Mahindra Susten, Mumbai +26 other locations,Engineering & Construction ,4.4,226," Highly Rated For Company Culture, Work Life Balance, Job Security ",
4134,Teachmint, Bangalore / Bengaluru +23 other locations,EdTech ,3.2,224,  ," Rated For Job Security, Promotions / Appraisal, Work Satisfaction"
4135,UNext, Bangalore / Bengaluru +11 other locations,EdTech ,3.0,236,  ," Rated For Job Security, Work Satisfaction, Promotions / Appraisal"
4136,Faber India, Pune +48 other locations,Consumer Electronics & Appliances ,4.3,222," Highly Rated For Company Culture, Work Life Balance, Job Security ",
4137,Interface Microsystems, Gurgaon / Gurugram +8 other locations,Auto Components ,3.6,221,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4138,Girmiti Software, Bangalore / Bengaluru +2 other locations,IT Services & Consulting ,4.0,220," Highly Rated For Skill Development / Learning, Job Security, Work Life Balance ",
4139,Health & Glow, Bangalore / Bengaluru +14 other locations,Beauty & Personal Care ,4.1,220," Highly Rated For Job Security, Skill Development / Learning, Company Culture  ", Rated For Promotions / Appraisal
4140,Nuance Communications, Pune +14 other locations,Software Product ,4.2,221," Highly Rated For Company Culture, Work Life Balance, Salary & Benefits ",
4141,Calpion Software Technologies, Bangalore / Bengaluru +6 other locations,IT Services & Consulting ,3.3,222,  ," Rated For Company Culture, Promotions / Appraisal, Skill Development / Learning"
4142,Teamlease Digital, Bangalore / Bengaluru +26 other locations,Recruitment ,3.5,247,  ," Rated For Promotions / Appraisal, Job Security, Skill Development / Learning"
4143,Media.net Software Services (India), Mumbai +6 other locations,Marketing & Advertising ,3.6,227, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Job Security, Skill Development / Learning"
4144,Binary Semantics, Gurgaon / Gurugram +9 other locations,IT Services & Consulting ,3.7,219,  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
4145,Zyoin, Bangalore / Bengaluru +6 other locations,Recruitment ,3.4,219,  ," Rated For Job Security, Promotions / Appraisal, Salary & Benefits"
4146,ICFAI Business School, Hyderabad / Secunderabad +52 other locations,Education & Training ,3.6,219,  ," Rated For Promotions / Appraisal, Skill Development / Learning, Company Culture"
4147,Income Tax Department India, New Delhi +79 other locations,Government ,4.4,219," Highly Rated For Work Life Balance, Work Satisfaction, Company Culture  ", Rated For Promotions / Appraisal
4148,Religare Finvest, New Delhi +34 other locations,Financial Services ,4.4,219," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction ",
4149,Trivitron Healthcare, Chennai +17 other locations,Medical Equipment ,3.4,219,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
4150,Stanley Lifestyles, Bangalore / Bengaluru +9 other locations,Furniture & Furnishing ,4.4,219," Highly Rated For Work Life Balance, Work Satisfaction, Job Security ",
4151,SasMos HET Technologies, Bangalore / Bengaluru +6 other locations,Electrical Equipment ,3.8,220," Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction  "," Rated For Promotions / Appraisal, Salary & Benefits"
4152,Real Time Data Services, Gurgaon / Gurugram +4 other locations,IT Services & Consulting ,4.0,218," Highly Rated For Job Security, Company Culture, Work Life Balance ",
4153,Arun Excello, Chennai +14 other locations,Real Estate ,3.8,229,  ," Rated For Promotions / Appraisal, Work Life Balance, Job Security"
4154,FICO, Bangalore / Bengaluru +5 other locations,Software Product ,4.0,219," Highly Rated For Company Culture, Work Life Balance, Job Security ",
4155,RentoMojo, Bangalore / Bengaluru +15 other locations,Internet ,3.9,219," Highly Rated For Work Life Balance, Job Security, Skill Development / Learning ",
4156,Sears Holdings, Pune +9 other locations,Retail ,2.9,219,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
4157,Schneider Electric Infrastructure, Vadodara +23 other locations,Electrical Equipment ,4.2,220," Highly Rated For Skill Development / Learning, Company Culture, Job Security  ", Rated For Promotions / Appraisal
4158,Expertise Contracting Company, Al Jubail +12 other locations,Industrial Machinery ,3.5,219,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4159,Phoenix Contact, Faridabad +16 other locations,Electronics Manufacturing ,4.0,220," Highly Rated For Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
4160,Poonawalla Housing Finance, Pune +83 other locations,Financial Services ,3.7,225,  ," Rated For Company Culture, Promotions / Appraisal, Work Life Balance"
4161,Worldline Global Services, Mumbai +15 other locations,IT Services & Consulting ,3.8,242," Highly Rated For Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
4162,Worldline, Mumbai +15 other locations,FinTech ,3.8,238, Highly Rated For Work Life Balance  , Rated For Promotions / Appraisal
4163,Fresher Than Fresh, Hyderabad / Secunderabad +42 other locations,Retail ,4.0,218," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
4164,Save the Children, Gurgaon / Gurugram +37 other locations,Non-Profit ,4.5,218," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
4165,Fujitec, Chennai +23 other locations,Electronics Manufacturing ,3.8,218, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
4166,Naandi Foundation, Hyderabad / Secunderabad +48 other locations,Non-Profit ,4.0,219," Highly Rated For Work Satisfaction, Skill Development / Learning, Company Culture  "," Rated For Job Security, Promotions / Appraisal"
4167,PhyCARE Solutions, Hyderabad / Secunderabad +6 other locations,Healthcare ,3.8,218," Highly Rated For Job Security, Work Life Balance, Skill Development / Learning  "," Rated For Salary & Benefits, Promotions / Appraisal"
4168,Lee Pharma,,Hyderabad / Secunderabad +8 other locations,3.4,218,  ," Rated For Company Culture, Job Security, Work Life Balance"
4169,Navata Road Transport, Vijayawada +31 other locations,Logistics ,3.6,218,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4170,Grassroots BPO, Bangalore / Bengaluru +7 other locations,BPO ,3.7,218,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4171,Marathon Realty, Mumbai +7 other locations,Real Estate ,4.0,218," Highly Rated For Company Culture, Job Security, Work Life Balance  ", Rated For Promotions / Appraisal
4172,MM Forgings, Chennai +20 other locations,Iron & Steel ,3.7,220, Highly Rated For Skill Development / Learning  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4173,University of Petroleum & Energy Studies, Dehradun +11 other locations,Education & Training ,3.8,218, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Job Security"
4174,Century Pulp & Paper, Lalkuan +17 other locations,Pulp & Paper ,3.9,219, Highly Rated For Job Security  , Rated For Promotions / Appraisal
4175,Netenrich Technologies, Hyderabad / Secunderabad +5 other locations,Software Product ,3.6,218,  ," Rated For Promotions / Appraisal, Company Culture, Salary & Benefits"
4176,Prabhat Dairy, Mumbai +22 other locations,FMCG ,3.8,218, Highly Rated For Skill Development / Learning  ," Rated For Promotions / Appraisal, Job Security"
4177,Vacmet India, Indore +15 other locations,Packaging ,4.2,219," Highly Rated For Job Security, Work Life Balance, Company Culture ",
4178,Keller Ground Engineering, Chennai +24 other locations,Engineering & Construction ,4.1,218," Highly Rated For Company Culture, Salary & Benefits, Skill Development / Learning ",
4179,Toshiba Software India, Bangalore / Bengaluru +5 other locations,IT Services & Consulting ,3.7,218, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
4180,Nippon Express, Bangalore / Bengaluru +31 other locations,Logistics ,3.9,217," Highly Rated For Job Security, Company Culture  ", Rated For Promotions / Appraisal
4181,Integra Global Solutions, Coimbatore +3 other locations,IT Services & Consulting ,3.5,217,  ," Rated For Company Culture, Promotions / Appraisal, Salary & Benefits"
4182,Terex, Bangalore / Bengaluru +15 other locations,Industrial Machinery ,3.8,219,  ," Rated For Promotions / Appraisal, Work Satisfaction"
4183,Hidden Brains InfoTech, Ahmedabad +7 other locations,IT Services & Consulting ,3.8,218," Highly Rated For Skill Development / Learning, Company Culture, Job Security ",
4184,Flyhomes, Noida +9 other locations,Internet ,4.3,217," Highly Rated For Company Culture, Work Life Balance, Salary & Benefits ",
4185,Mouser Electronics, Bangalore / Bengaluru +4 other locations,Semiconductors ,3.9,206,  ," Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
4186,Mogli labs, Noida +24 other locations,Internet ,3.5,217,  ," Rated For Job Security, Work Satisfaction, Promotions / Appraisal"
4187,JP Infra, Mumbai +8 other locations,Real Estate ,3.8,217,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
4188,Shalina Healthcare, Pune +10 other locations,Pharma ,3.6,217,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
4189,Kuwait Oil Company, Chennai +17 other locations,Oil & Gas ,4.4,217," Highly Rated For Company Culture, Salary & Benefits, Work Life Balance ",
